title,author_name,first_publish_year,language,edition_count
Cloud Tea Monkeys,"['Mal Peet', 'Elspeth Graham']",1999,['eng'],4
Cloud nine,['James M. Cain'],1984,['eng'],10
Wolkenschloss,['Kerstin Gier'],2017,"['fre', 'spa', 'pol', 'eng']",12
The one-life solution,['Henry Cloud'],2008,['eng'],5
All sail set,['Armstrong Sperry'],1935,['eng'],12
Boundaries with Kids,['Henry Cloud'],1998,['eng'],6
Above the clouds,['Anatoli Boukreev'],2001,['eng'],4
"The cloud of unknowing, and other treatises",,1936,['eng'],1
Cloud Island,['Rosie Banks'],2012,['eng'],2
Flambards,['K. M. Peyton'],1967,"['und', 'eng']",29
Fire cloud,['Cassie Edwards'],2001,['eng'],2
Cloud's rider,['C. J. Cherryh'],1996,['eng'],4
Cloud computing,"['Nick Antonopoulos', 'Lee Gillam']",2010,['eng'],5
"Cloud Holders (Harlequin Romance, No 3133)",['Bethany Campbell'],1991,['eng'],1
Boundaries in Marriage,"['Henry Cloud', 'John Sims Townsend', 'Dick Fredricks']",1999,"['eng', 'chi']",12
The cloud searchers,,,,0
Cloud Computing Security,['John R. Vacca'],2016,['eng'],11
Floating clouds,"['Hayashi, Fumiko']",1965,['eng'],4
Storm clouds,['Cheryl Wolverton'],2005,['eng'],3
The Mom Factor,"['Henry Cloud', 'John Townsend', 'John Sims Townsend']",1996,"['eng', 'spa']",8
The Cloud of Unknowing,['James Walsh'],1981,['eng'],2
The Cloudspotter's Guide,['Gavin Pretor-Pinney'],2006,['eng'],6
Up In the Clouds,['Robert Michael Ballantyne'],1863,['eng'],29
"Silver clouds, golden dreams",['Theresa Conway'],1985,,1
Clouded vision,['Linwood Barclay'],2011,['eng'],7
Four Texts on Socrates,['Πλάτων'],1984,"['gre', 'eng']",5
Rescue Your Love Life,"['Henry Cloud', 'John Sims Townsend']",2005,['eng'],8
Safe People,"['Henry Cloud', 'John Sims Townsend', 'John Townsend']",1995,"['eng', 'spa']",9
War Cloud's Passion (Legendary Warriors),['Karen Kay'],2001,['eng'],2
Cloud & ashes,"['Greer Ilene Gilman', 'Greer Gilman']",2009,['eng'],2
Clouded rapture,['Margaret Pargeter'],1983,['eng'],3
The Leaf and the Cloud,['Mary Oliver'],2000,['eng'],2
Never go back,['Henry Cloud'],2014,['eng'],1
How people grow,['Henry Cloud'],2004,['eng'],1
Cloud Architecture Patterns,['Bill Wilder'],2012,['eng'],3
Cloud enterprise architecture,['Pethuru Raj'],2012,['eng'],5
The cloud atlas,['Liam Callanan'],2004,['eng'],5
God will make a way,"['Henry Cloud', 'John Sims Townsend']",2002,['eng'],6
Up on cloud nine,['Anne Fine'],2002,['eng'],4
The Man Who Named the Clouds,"['Joan Holub', 'Julie Hannah', 'Julie Hanna']",2006,['eng'],8
Just under the clouds,['Melissa Sarno'],2018,['eng'],5
Official Google Cloud Certified Associate Cloud Engineer Study Guide,['Dan Sullivan'],2019,['eng'],3
Cloud computing,['John W. Rittinghouse'],2009,['eng'],8
Book of clouds,['Chloe Aridjis'],2009,['eng'],5
Ichimoku Charts,['Nicole Elliott'],2007,['eng'],3
Boundaries - Costco Only,['Henry Cloud'],2008,,1
How to have that difficult conversation you've been avoiding,['Henry Cloud'],2006,['eng'],3
Cloud Computing,['Sandeep Bhowmik'],2017,['eng'],3
Blow away the black clouds,['Florence Littauer'],1986,['eng'],1
The Cloud Forest,['Peter Matthiessen'],1961,['eng'],8
What to do when you don't know what to do,['Henry Cloud'],2005,['eng'],4
Cloud Computing For Dummies,['Judith Hurwitz'],2010,['eng'],2
SAP Cloud Platform Integration,"['John Mutumba Bilay', 'Peter Gutsche', 'Mandy Krimmel', 'Volker Stiehl']",2019,['eng'],2
Nubosidad variable,['Carmen Martín Gaite'],1992,"['fre', 'eng', 'spa']",13
9 things a leader must do,['Henry Cloud'],2006,['eng'],3
The cloud walker,['Edmund Cooper'],1973,"['dut', 'eng']",8
Boundaries with kids,"['Henry Cloud', 'John Sims Townsend', 'Henry O. Arnold']",1998,['eng'],16
Way of Life Advanced Bible Studies Series,['DAVID CLOUD'],2006,,13
AWS Certified Cloud Practitioner Exam Guide,['Rajesh Daswani'],2021,['eng'],3
When your world makes no sense,['Henry Cloud'],1990,['eng'],1
Systems Performance,['Brendan Gregg'],2013,,2
Boundaries workbook,"['Henry Cloud', 'John Sims Townsend']",1995,['eng'],4
Visualizing Google Cloud,['Priyanka Vergadia'],2022,['eng'],2
Grid and Cloud Computing,['Krishna Sankar P'],2016,,1
"Dark Clouds, Deep Mercy",['Mark Vroegop'],2019,['eng'],4
